 ## - Mun beroštan das ahte mii {galget} geavahišgoahtit daid vejolašvuođaid mat eanandoalloopmodagain gávdnojit . #FIXED
 ## Mun dajašin nuppeláhkai " jus mii {galget} nannet sámi álbmoga , de fertet muitit iežamet historjjá , leš dal bahá dahje buorre " . #FIXED
 ## Sámi girjjálašvuohta sihkkárastá dan , ahte mii lávket boahtteáigái almma ahte mii {vajáldahttet} iežamet árbbi . #FIXED
 ##  Min geatnegasvuohta lea bearráigeahččat ahte mii {čuvvot} lága , ja maiddái sin geat leat ožžon lobi vuovdit alkohola olgobáikkiin , go gielddas lea maid dárkkistandoaibma dan ektui . #FIXED
 ## – Ii leat válga vel , danne eat čohkket – Čohkkedit ii sáhte vaikko leat miehtebiekkas , easkka dál mii {álget} válgagiččuiguin . #FIXED
 ## Go sápmelaččat leat oassin servvodagas , de fertet mii maid gierdat ahte mii {namuhuvvojit} oktavuođain nu go Honnesváhki-revya bihtáin . #FIXED
 ## Mii háliidit ahte Sámediggi galgá čielggas dasa ahte mii {galget} leat aktiiva veahkki , ja veahkehit resurssaiguin nu ahte buohkat geat háliidit , galget sáhttit čađahit dakkár proseassaid . #FIXED
 ## Mii fertet čállit ođđa álbmotrivttiid ektui nu ahte mii {gáhtet} álbmotvuovdiina . #FIXED
 ## Min geatnegasvuohta lea bearráigeahččat ahte mii {čuvvot} lága , ja maiddái sin geat leat ožžon lobi vuovdit alkohola olgobáikkiin , go gielddas lea maid dárkkistandoaibma dan ektui . #FIXED
 ##  Dál lea áigi ahte mii {atnet} ávkki nubbi nuppis ja bargat ovttas anne lihkostuvvat ollásii dáinna prošeavttain ja ahte dát oidnogoahtá suohkaniin . #FIXED
 ## Dan rádjái goit liikká ii leat čájehuvvon ahte doppe leat boasttuvuođat , nu ahte buot orru manname hui čorgadit , vaikke mii {attiime} áibbas eará áddejumi lávvordaga Ávviris , máid vel oktii šállosat . #FIXED
 ## Giitu ollu visot nuorat Jåhkåmåhkes geat serve leairras , ja giitu go mii {beasaime} leat ovttas dinguin daid guokte leairabeivviid ! #FIXED
 ## Go mii háliideimmet ahte visot galge čoahkkanit goahtái , de mii {čuorvvuime} ja sii vástidedje juste nu go ledje oahppan . #FIXED
 ## Go mii {háliideimme} ahte visot galge čoahkkanit goahtái , de mii čuorvvuime ja sii vástidedje juste nu go ledje oahppan . #FIXED
	## In mun dieđe gii {dáhtole} hearggi vuoitit ná maŋŋi giđa, vástida Mikkel Áilu. #FIXED
	#$ Mánáidsuodjalus {dárbbašivčče} dan oktavuođas, go dat ollašuhttá mánáidsuodjaluslága sámiguovllus, eambbo dieđuid sámi báikkálaš kultuvrras, jurddašanvugiin, árbevieruin ja bajásgeassinvugiin.
 #$ – Sierra sámi nuoraidfoanddas eai galggaše leat nu garra gáibádusat , galggašii leat vuollegis šielbmá vai {sáhtašii} juohkit ruđaid iešguđetge nuoraiddoaimmaide , čilge NSR Sámediggeáirras Susanne Amalie Andersen NSR evttohusa Sámedikke 2009 bušehttii .
 #$ – Sierra sámi nuoraidfoanddas eai galggašii leat nu garra gáibádusat , galggašii leat vuollegis šielbmá vai sáhtašii juohkit ruđaid iešguđetge nuoraiddoaimmaide , {čilge} NSR Sámediggeáirras Susanne Amalie Andersen NSR evttohusa Sámedikke 2009 bušehttii .
 #$ Dat báicco {sáhtašii} addit stuorát hásttalusaid iešguđetge neavtáriid , ja dalle soaitá maiddái teahter šaddat eanet miellagiddevažžan ja čierggosat gehččiide .
 #$ Sáhtán namuhit ahte {sáhtašii} oasi álgoálbmotfilmmain čájehit , mat leat čájehuvvon maŋimuš 9 jagi .
 #$ - Maiddái {sáhtašii} vuosttas álgoálbmotjoavkku aborigiinnaid filmmaid mat čájehuvvojedje vuosttas festiválas fas čájehit ođđasit .
 #$ Lohká {livččii} mávssolaš sápmelaččaide geat rahčet dáinna dávddain jus sáhtašedje ovttas hárjehallat , movttiidahttit nubbi nuppi .
 #$ Lohká livččii mávssolaš sápmelaččaide geat rahčet dáinna dávddain jus {sáhtašedje} ovttas hárjehallat , movttiidahttit nubbi nuppi .
 #$ Maiddái leat gielddanjunnožat ovdal váldán atnui " goalgagáhppir mátkii " Helssegii , ja gearjidan ruđaid njuonoš eiseváldiiguin , dán maid {sáhtašedje} gieldda njunnošat geahččalit , árvalasttá Torikka .
	#$ Kirste Paltto románii Guhtoset dearvan min bohccot {čujuhuvvo} ovdamearkan oanádusain , dasgo lea álkit geavahit dan go guhkit čujuhusa .
	#$ Psykalaš dearvvašvuođa viiddidanplánas daddjo ahte fálaldat sápmelaččaide geain leat psyhkalaš váttisvuođat {galgá} nannejuvvot gelbbolašvuođaguovddáža huksemiin ja dearvvašmahttinfálaldaga viiddidemiin .
	#$ Oahpahit eaktodáhtolaš bargit {ferte} leat intensiivvalaččat čađahuvvot ja nu beaktilit go vejolaš , go eaktodáhtolaš bargit eai sáhtte guhkit áiggi leat oahppoásahusas .
	## Uvjjat ja dolggit {lei} hui bivnnuhis gálvu ovdalaš áigge .
	## 1820-25 jagit {lei} deaŧalaš áigodahkan Davvi-Norgga báktedoaibmaindustriijii , go iske Álttá ( ja Návuona ) veaikemálbmahivvodaga ja roggagohte daid ( NGU nr. 204-1964 : 48 ) .
	## Ádelhearrá healkkehii nu ahte goasii nisttihii luhkkárgirjii láhttái , muhto son {oaččut} fas árjjaid go fas jurdilii ledjona mearkka birra .
	## Go maŋŋá fas lean oaidnán dan seamma láttána , guržo dahje turista , go son lea bivddus lihkostuvvan , de {leat} son aiddo loktaneamen ávvudeamis .
	## Movt bat son {sáhtát} diehtit « nieiddaš » duo lea ?
	## Muđui de manná bures duinna ja son {servvoštalat} iežat lagamus olbmuiguin .
	## Energiija atnojuvvo persuvnnalaš áššiide ja son {liikot} doaimmahit áššiid ja hálidat jurddašit iežat birra .
	## Mun bessen oaidnit su kántuvrra universitehtas , ja son válddi oktavuođa ovtta máilmmi deháleamus girjerádjosiin , Library of Congress Washington DCs maŋŋel go mun ávžžuhin su dan dahkat , ja son {oaččut} rievdadit namahusa « Lapp » ja dan sadjái bidjat « Sami » .
	## Mun {leat} boaris.
	## Mun {it} leat sordojuvvon , muhto mun jáhkan ahte mu sámevuohta lea dan. 
	## – Mun {barggat} hirbmat olu , muhttun váhkkuid sáhtan roahkka bargat 40-50 diimmu , muitala Per Vidar . 
	## Eai munnos leat buot vástádusat , muhto moai {sáhttá} veahkehit daid gávdnat , modjába nieiddaguoktá Merete Amble ja Anna Laila Bjørkås .
 ## Dovddaime moai {galgá} čállit Steinna ja Ståle čeahpes gándan , roastilin ja morškisin — go leat látti bártnit.
	## {Eat} go doai leat vuos beare nuorat ?
	## Soai {boahtit}.
	#$ – Leat smávit áššit main sii eai leat ovttaoaivilis , nu ahte mii geahčalit ain bargat oažžut šiehtadusa , {muitala} NSR šiehtadallanjoavkku jođiheaddji Klemet Erland Hætta .
	## Norgga bealde mii {beasat} gullat earret eará Cyaneed , Joddski , Madcon , Lars Vaular ja A-ha . 
	## Mii {boađán}.
	## Muhto ii go lea nu ahte jos dii livččiidet sádden dien ášši ruovttuluotta hálddahussii de livččii nu maŋit jagis ahte ruhta livččii mannan ruovttuluotta departementii dii {livččiide} gártan ohcat ođđasit ja plánabargu livččii maŋiduvvon vaikko hui guhká ? 
	## SÁMI KULTUVRA Sámediggi oaidná ahte lea deaŧalaš ja riggudahtti Norgii bisuhit sámi giela , kultuvrra ja árbevieruid dain guovlluin gos sámit árbevirolaččat leat ássan , ja gos dii {doibmet} . 
	## Sii eai leat konkluderen movtge vel , muhto sii {háliidat} nannet servviid báikkálaš fakkiin . 
	## Dan ovddas sii {ledjet} sádden dieđu Olmmáivákki iežas poastaolbmá , Asbjørn Solberg , mielde ahte sii eat aiggu rievdadit dán áššis . 
	## Son muitala ahte sii ožžo hirbmat stuorra beroštumi olbmuin go beakkehii ahte sii {vuovdet} sámi borramuša .
	## Jus muhtin juoigagoahtá suohttas dihte , de gal leat fuobmán maid barget : sii {juoiget} olles čoddagiid ruovttoluotta . 
	## Finnmárkku dearvvašvuohta galgá geahččat mot sii {doaibmet} iešguđege suorggis ja leat bidjan johtui prošeavtta " Psykalaš dearvvašvuođasuddjema ja fágaidrasttideaddji spesialiserejuvvon gárrenmirkodivššodeami ovdánahttin ja ođđasit organiseren " . 
	## Stivren- ja bargojoavkkuin leat boazosápmelaččat geat dovdet orohatjuohkinváttisvuođaid , ja sii {beasset} maid juogaládje muitalit movt lea heivvolaš juohkit oktasaš orohagaid . 
	## Maŋŋel go juohke berošteaddji organisašuvnnat leat doallan 20 minuktasaš sáni máid sii {vuordet} Finnmárkkukommišuvnnas , de lea 50 minuktasaš digaštallan .
	## Jurdda lea ahte go oahppit besset iežaset beroštumiid mielde válljet fága ja oahppat feara makkár bargovugiid bokte , de dat galggašii váikkuhit dasa ahte sii {oahppet} « dábálaš skuvlafágaid » maid buorebut . 
	## Son čájehii govaid buotlágan borramušain maid sii luonddus {viežžet}. 
	## – Mii doaivut ahte skuvlaluohkát {joatket} dainna ain boahtteáiggis . 
	## Son reagere dasa, go Roger Ingebrigtsen dahkko dán ovdanbuktimis gillájeaddjin ja go Ek jođiha nissoniid áššiid Romssa bargiidbellodagas, de {livčče} son galgan váldit dán ášši veahá eará láhkai, čilge Bremnes.
	## Mii dovdat Ovddádusbellodaga oainnu Sámediggái , eatge hirpmáhuva go Hans J. Eriksen , Carl I. Hagen ja Siv Jensen {cealket} juoidá dán áššis . 
	## Eará jearaldagaid sáhtát {jearret} kunddarguovddážis , telefuvdna 06640 .
    #$ Fanasstivrejeaddji Nils Helge čohkkáda stáđđásit ja bearráigeahččá buot ovdalgo 55 heasttat fanasmohtora {muoláda} oktan čáhcehevron Latnat- ja Virdnejávrái .
